Sentence,Intent
"Play the song ""Blinding Lights"".",PlayMusic
Can you increase the volume?,IncreaseVolume
What’s the weather like tomorrow?,GetWeather
Set a reminder for my meeting at 2 PM.,Time
Turn on the living room lights.,TurnOnLights
Play some relaxing music.,PlayMusic
Make the volume louder.,IncreaseVolume
Will it rain this weekend?,GetWeather
Remind me to buy groceries tonight.,Time
Turn on the kitchen lights.,TurnOnLights
Play the latest Drake song.,PlayMusic
Pump up the volume.,IncreaseVolume
How’s the weather today?,GetWeather
Set a reminder to call mom in 10 minutes.,Time
Turn on all the lights in the house.,TurnOnLights
Can you play classical music?,PlayMusic
Turn up the volume by 10.,IncreaseVolume
Is it going to snow tomorrow?,GetWeather
Set a reminder for my workout at 5 PM.,Time
Turn on the bedroom lights.,TurnOnLights
Play some jazz music.,PlayMusic
Make the sound louder.,IncreaseVolume
What’s the forecast for next week?,GetWeather
Remind me to feed the dog at 6 PM.,Time
Turn on the office lights.,TurnOnLights
Play a happy song.,PlayMusic
"Increase the volume, please.",IncreaseVolume
Will it be sunny on Friday?,GetWeather
Set a reminder to water the plants.,Time
Turn on the outdoor lights.,TurnOnLights
Play music from the 80s.,PlayMusic
Raise the volume to max.,IncreaseVolume
Is it going to be cold tonight?,GetWeather
Set a reminder for my dentist appointment.,Time
Turn on the study room lights.,TurnOnLights
Play something upbeat.,PlayMusic
Increase the speaker volume.,IncreaseVolume
Will there be a storm tonight?,GetWeather
Set a reminder to take my medicine.,Time
Turn on the bathroom lights.,TurnOnLights
Play some pop music.,PlayMusic
Crank up the volume.,IncreaseVolume
Is it going to be warm tomorrow?,GetWeather
Set a reminder to send an email.,Time
Turn on the front porch light.,TurnOnLights
Play a relaxing playlist.,PlayMusic
Boost the volume a bit.,IncreaseVolume
What’s the weather like next Monday?,GetWeather
Set a reminder for my yoga class.,Time
Play the new album by Taylor Swift.,PlayMusic
Increase the volume by 5.,IncreaseVolume
What’s the weather in New York next week?,GetWeather
Set a reminder for my doctor’s appointment tomorrow.,Time
Turn on the hallway lights.,TurnOnLights
Search for the best Italian restaurants nearby.,InternetSearch
Play rock music.,PlayMusic
Make the volume a bit higher.,IncreaseVolume
What’s the temperature outside right now?,GetWeather
Remind me to call John tomorrow at 8 AM.,Time
Turn on the garden lights.,TurnOnLights
Search for the latest news on technology.,InternetSearch
Play a podcast about science.,PlayMusic
Raise the volume slightly.,IncreaseVolume
Will it rain later today?,GetWeather
Set a reminder to send an email at 4 PM.,Time
Turn on the dining room lights.,TurnOnLights
Look up the top 10 movies of 2024.,InternetSearch
Play a motivational playlist.,PlayMusic
Can you increase the volume a little bit more?,IncreaseVolume
What’s the forecast for tomorrow morning?,GetWeather
Set a reminder for my dentist appointment at 3 PM.,Time
Turn on the upstairs lights.,TurnOnLights
Search for the definition of artificial intelligence.,InternetSearch
Play a relaxing meditation track.,PlayMusic
Turn the volume up a notch.,IncreaseVolume
Is it going to rain this afternoon?,GetWeather
Remind me to pick up groceries at 5 PM.,Time
Turn on the lights in the garage.,TurnOnLights
Search for the best smartphone in 2024.,InternetSearch
Play the next song.,PlayMusic
Can you boost the volume by 3?,IncreaseVolume
What’s the weather forecast for this weekend?,GetWeather
